conversation_num,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,speaker_nickname,message,timestamp,message_lower_with_punc,num_words,num_chars,num_messages,sentiment,emotion
rHPaiuXkM3Ss4rEsW,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],586.0,107.0,5.476635514018692,oJLD2kfcwGyXkfCeH,can we get d to the highest score,2021-02-26T19:11:21.474Z,can we get d to the highest score?,8,33,1,"{'positive': 0.32312852, 'negative': 0.012935534, 'neutral': 0.6639359}",neutral
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6QvNn8wdCyviKCjiv,looks good,2021-02-26T19:22:32.695Z,looks good,2,10,1,"{'positive': 0.8554173, 'negative': 0.014654778, 'neutral': 0.1299279}",joy
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6qP7EcqvYQL4gmrAX,i like it,2021-02-26T19:23:14.467Z,i like it,3,9,1,"{'positive': 0.7193484, 'negative': 0.029555459, 'neutral': 0.25109613}",joy
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,NMkPLqERKzTTMqw5Y,it looks good to me,2021-02-26T19:23:20.650Z,it looks good to me,5,19,1,"{'positive': 0.94632715, 'negative': 0.004838434, 'neutral': 0.04883447}",joy
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6QvNn8wdCyviKCjiv,stop changing it,2021-02-26T19:23:52.111Z,stop changing it,3,16,1,"{'positive': 0.0189425, 'negative': 0.67622167, 'neutral': 0.30483586}",anger
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,i made it higher stop you made it lower,2021-02-26T19:24:39.311Z,i made it higher stop you made it lower,9,39,1,"{'positive': 0.13290145, 'negative': 0.27104378, 'neutral': 0.59605473}",neutral
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,look now they are all over 50,2021-02-26T19:25:27.770Z,"look, now they are all over 50",7,29,1,"{'positive': 0.15816037, 'negative': 0.06605337, 'neutral': 0.7757863}",surprise
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,6qP7EcqvYQL4gmrAX,but they are breaking a rule,2021-02-26T19:25:50.170Z,but they are breaking a rule,6,28,1,"{'positive': 0.016788447, 'negative': 0.535575, 'neutral': 0.44763663}",neutral
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,WehwSkzFdpbNKjFMD,pay attention to the numbers if you care about  please,2021-02-26T19:25:52.373Z,"pay attention to the numbers if you care about $, please",10,54,1,"{'positive': 0.13607796, 'negative': 0.23061605, 'neutral': 0.633306}",neutral
dArSAcrzmb9bR6Pug,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,NMkPLqERKzTTMqw5Y,yes we have to take into account two broken rules 200,2021-02-26T19:26:14.885Z,"yes, we have to take into account two broken rules =-200",11,53,1,"{'positive': 0.026373558, 'negative': 0.5413195, 'neutral': 0.43230703}",neutral
